a,b,abs_cos
Age,Certainty,0.0254
Age,Era,0.0270
Age,Gender,0.0272
Age,Health,0.0167
Age,Honesty,0.0032
Age,Literary,0.0652
Age,Number,0.0299
Age,Person,0.0328
Age,Refusal,0.0210
Age,Sentiment,0.0329
Age,Status,0.0364
Age,Tense,0.0001
Age,Wealth,0.0414
Age,Portuguese,0.0370
Age,Chinese,0.0591
Age,Spanish,0.0439
Age,French,0.0382
Age,German,0.0050
Age,Dutch,0.0382
Age,Italian,0.0585
Age,Japanese,0.0569
Age,Russian,0.0707
Age,Arabic,0.0833
Age,Python,0.0358
Age,JavaScript,0.0177
Age,Java,0.0256
Age,Rust,0.0247
Age,Haskell,0.0344
Age,Cpp,0.0293
Age,Go,0.0177
Age,Lisp,0.0426
Age,TypeScript,0.0136
Certainty,Era,0.0568
Certainty,Gender,0.0151
Certainty,Literary,0.0379
Certainty,Number,0.0371
Certainty,Person,0.0199
Certainty,Status,0.0697
Certainty,Tense,0.0658
Certainty,Portuguese,0.0523
Certainty,Chinese,0.0289
Certainty,Spanish,0.0486
Certainty,French,0.0261
Certainty,German,0.0467
Certainty,Dutch,0.0446
Certainty,Italian,0.0404
Certainty,Japanese,0.0592
Certainty,Russian,0.0396
Certainty,Arabic,0.0309
Certainty,Python,0.0003
Certainty,JavaScript,0.0038
Certainty,Java,0.0039
Certainty,Rust,0.0024
Certainty,Haskell,0.0013
Certainty,Cpp,0.0047
Certainty,Go,0.0075
Certainty,Lisp,0.0043
Certainty,TypeScript,0.0116
Era,Gender,0.0356
Era,Health,0.0417
Era,Honesty,0.0372
Era,Literary,0.0838
Era,Number,0.0091
Era,Person,0.0205
Era,Refusal,0.0232
Era,Sentiment,0.0075
Era,Status,0.0707
Era,Tense,0.0336
Era,Wealth,0.0128
Era,Portuguese,0.0299
Era,Chinese,0.0461
Era,Spanish,0.0224
Era,French,0.0595
Era,German,0.0434
Era,Dutch,0.0381
Era,Italian,0.0254
Era,Japanese,0.0407
Era,Russian,0.0216
Era,Arabic,0.0541
Era,Python,0.0184
Era,JavaScript,0.0438
Era,Java,0.0370
Era,Rust,0.0353
Era,Haskell,0.0141
Era,Cpp,0.0379
Era,Go,0.0412
Era,Lisp,0.0135
Era,TypeScript,0.0506
Gender,Health,0.0568
Gender,Honesty,0.0284
Gender,Literary,0.0028
Gender,Number,0.0119
Gender,Person,0.0903
Gender,Refusal,0.0394
Gender,Sentiment,0.0169
Gender,Status,0.0671
Gender,Tense,0.0092
Gender,Wealth,0.0095
Gender,Portuguese,0.0431
Gender,Chinese,0.0507
Gender,Spanish,0.0387
Gender,French,0.0351
Gender,German,0.0004
Gender,Dutch,0.0113
Gender,Italian,0.0461
Gender,Japanese,0.0306
Gender,Russian,0.0862
Gender,Arabic,0.0707
Gender,Python,0.0105
Gender,JavaScript,0.0142
Gender,Java,0.0082
Gender,Rust,0.0139
Gender,Haskell,0.0121
Gender,Cpp,0.0179
Gender,Go,0.0134
Gender,Lisp,0.0131
Gender,TypeScript,0.0208
Health,Literary,0.0236
Health,Number,0.0125
Health,Person,0.0091
Health,Status,0.0311
Health,Tense,0.0185
Health,Portuguese,0.0833
Health,Chinese,0.0731
Health,Spanish,0.0690
Health,French,0.0936
Health,German,0.0902
Health,Dutch,0.0979
Health,Italian,0.0611
Health,Japanese,0.0798
Health,Russian,0.0696
Health,Python,0.0554
Health,JavaScript,0.0266
Health,Java,0.0303
Health,Rust,0.0322
Health,Haskell,0.0303
Health,Cpp,0.0324
Health,Go,0.0335
Health,Lisp,0.0599
Health,TypeScript,0.0154
Honesty,Literary,0.0779
Honesty,Number,0.0044
Honesty,Person,0.0270
Honesty,Tense,0.0564
Honesty,Portuguese,0.0623
Honesty,Chinese,0.0624
Honesty,Spanish,0.0475
Honesty,French,0.0722
Honesty,German,0.0382
Honesty,Dutch,0.0712
Honesty,Italian,0.0743
Honesty,Python,0.0961
Honesty,Rust,0.0981
Honesty,Go,0.0981
Honesty,TypeScript,0.0964
Literary,Number,0.0581
Literary,Person,0.0553
Literary,Refusal,0.0150
Literary,Sentiment,0.0120
Literary,Status,0.0622
Literary,Tense,0.0578
Literary,Wealth,0.0022
Literary,Portuguese,0.0694
Literary,Chinese,0.0062
Literary,Spanish,0.0760
Literary,French,0.0860
Literary,German,0.0040
Literary,Dutch,0.0254
Literary,Italian,0.0760
Literary,Japanese,0.0454
Literary,Russian,0.0676
Number,Refusal,0.0244
Number,Sentiment,0.0116
Number,Status,0.0550
Number,Tense,0.0748
Number,Wealth,0.0122
Number,Portuguese,0.0437
Number,Chinese,0.0350
Number,Spanish,0.0476
Number,French,0.0276
Number,German,0.0252
Number,Dutch,0.0518
Number,Italian,0.0442
Number,Japanese,0.0346
Number,Russian,0.0767
Number,Arabic,0.0588
Number,Python,0.0170
Number,JavaScript,0.0209
Number,Java,0.0263
Number,Rust,0.0272
Number,Haskell,0.0852
Number,Cpp,0.0279
Number,Go,0.0316
Number,Lisp,0.0545
Number,TypeScript,0.0172
Person,Refusal,0.0227
Person,Sentiment,0.0122
Person,Status,0.0212
Person,Tense,0.0209
Person,Wealth,0.0278
Person,Portuguese,0.0220
Person,Chinese,0.0119
Person,Spanish,0.0272
Person,French,0.0244
Person,German,0.0314
Person,Dutch,0.0003
Person,Italian,0.0032
Person,Japanese,0.0106
Person,Russian,0.0121
Person,Arabic,0.0018
Person,Python,0.0158
Person,JavaScript,0.0156
Person,Java,0.0175
Person,Rust,0.0169
Person,Haskell,0.0014
Person,Cpp,0.0209
Person,Go,0.0155
Person,Lisp,0.0199
Person,TypeScript,0.0285
Refusal,Status,0.0147
Refusal,Tense,0.0029
Refusal,Wealth,0.0731
Refusal,Portuguese,0.0066
Refusal,Chinese,0.0190
Refusal,Spanish,0.0143
Refusal,French,0.0015
Refusal,German,0.0030
Refusal,Dutch,0.0057
Refusal,Italian,0.0139
Refusal,Japanese,0.0148
Refusal,Russian,0.0157
Refusal,Arabic,0.0139
Refusal,Python,0.0179
Refusal,JavaScript,0.0327
Refusal,Java,0.0298
Refusal,Rust,0.0394
Refusal,Haskell,0.0091
Refusal,Cpp,0.0374
Refusal,Go,0.0348
Refusal,Lisp,0.0117
Refusal,TypeScript,0.0348
Sentiment,Status,0.0841
Sentiment,Tense,0.0727
Sentiment,Portuguese,0.0903
Sentiment,Chinese,0.0748
Sentiment,Spanish,0.0838
Sentiment,French,0.0647
Sentiment,German,0.0834
Sentiment,Dutch,0.0823
Sentiment,Italian,0.0505
Sentiment,Japanese,0.0941
Sentiment,Russian,0.0935
Sentiment,Arabic,0.0704
Sentiment,Python,0.0048
Sentiment,JavaScript,0.0264
Sentiment,Java,0.0141
Sentiment,Rust,0.0027
Sentiment,Haskell,0.0269
Sentiment,Cpp,0.0158
Sentiment,Go,0.0101
Sentiment,Lisp,0.0033
Sentiment,TypeScript,0.0131
Status,Tense,0.0386
Status,Portuguese,0.0502
Status,Chinese,0.0541
Status,Spanish,0.0563
Status,French,0.0324
Status,German,0.0134
Status,Dutch,0.0365
Status,Italian,0.0747
Status,Japanese,0.0546
Status,Python,0.0491
Status,JavaScript,0.0340
Status,Java,0.0371
Status,Rust,0.0344
Status,Haskell,0.0354
Status,Cpp,0.0374
Status,Go,0.0346
Status,Lisp,0.0566
Status,TypeScript,0.0273
Tense,Wealth,0.0527
Tense,Portuguese,0.0980
Tense,Chinese,0.0456
Tense,Spanish,0.0993
Tense,French,0.0956
Tense,German,0.0681
Tense,Dutch,0.0786
Tense,Italian,0.0774
Tense,Japanese,0.0395
Tense,Arabic,0.0415
Tense,Python,0.0442
Tense,JavaScript,0.0097
Tense,Java,0.0096
Tense,Rust,0.0040
Tense,Haskell,0.0711
Tense,Cpp,0.0105
Tense,Go,0.0134
Tense,Lisp,0.0081
Tense,TypeScript,0.0297
Wealth,Portuguese,0.0528
Wealth,Chinese,0.0613
Wealth,Spanish,0.0557
Wealth,French,0.0623
Wealth,German,0.0397
Wealth,Dutch,0.0772
Wealth,Italian,0.0399
Wealth,Japanese,0.0773
Wealth,Russian,0.0828
Wealth,Arabic,0.0787
Wealth,Python,0.0619
Wealth,JavaScript,0.0500
Wealth,Java,0.0565
Wealth,Rust,0.0406
Wealth,Haskell,0.0495
Wealth,Cpp,0.0500
Wealth,Go,0.0560
Wealth,Lisp,0.0649
Wealth,TypeScript,0.0565
